name,url,review count,aggregating rating value,price range,address,postcode,category
The John Bull Pub,/Restaurant_Review-g189838-d1042641-Reviews-The_John_Bull_Pub-Lund_Skane_County.html,120.0,3.5,$$ - $$$,2 Bantorget,222 29,FoodEstablishment
Ahlgrens Konfektyr,/Restaurant_Review-g189838-d8115558-Reviews-Ahlgrens_Konfektyr-Lund_Skane_County.html,15.0,4.5,$$ - $$$,1 Maartenstorget Salluhallen,223 51,FoodEstablishment
Zen Sushi &amp; Tea,/Restaurant_Review-g189838-d2388074-Reviews-Zen_Sushi_Tea-Lund_Skane_County.html,84.0,4.0,$$ - $$$,4 Oestra Maartensgatan,223 61,FoodEstablishment
Cashew Vegan kitchen,/Restaurant_Review-g189838-d10397338-Reviews-Cashew_Vegan_kitchen-Lund_Skane_County.html,11.0,5.0,$$ - $$$,Kyrkogatan 21,222 22,FoodEstablishment
Meat d Pate,/Restaurant_Review-g189838-d11582678-Reviews-Meat_d_Pate-Lund_Skane_County.html,16.0,4.5,$$ - $$$,1 Maartenstorget,223 51,FoodEstablishment
Torna Hallestad Lanthandel,/Restaurant_Review-g189838-d10686420-Reviews-Torna_Hallestad_Lanthandel-Lund_Skane_County.html,20.0,4.0,$$ - $$$,Sandvagen 4 Torget,24745,FoodEstablishment
Shady Burgers,/Restaurant_Review-g189838-d13827124-Reviews-Shady_Burgers-Lund_Skane_County.html,35.0,4.0,$$ - $$$,Martenstorget 7,223 51,FoodEstablishment
Restaurang Antica Vineria Italiana,/Restaurant_Review-g189838-d3699514-Reviews-Restaurang_Antica_Vineria_Italiana-Lund_Skane_County.html,48.0,4.0,$$ - $$$,2 Clemenstorget,222 21,FoodEstablishment
Truefood,/Restaurant_Review-g189838-d13340831-Reviews-Truefood-Lund_Skane_County.html,16.0,5.0,$,Vastra Martensgatan 7,223 51,FoodEstablishment
Inferno,/Restaurant_Review-g189838-d4292429-Reviews-Inferno-Lund_Skane_County.html,66.0,3.5,$$ - $$$,1 Paradisgatan,223 50,FoodEstablishment
Gloria's Bar &amp; Restaurant,/Restaurant_Review-g189838-d1042637-Reviews-Gloria_s_Bar_Restaurant-Lund_Skane_County.html,98.0,3.5,$$ - $$$,Petri Kyrkog. 9,,FoodEstablishment
La Parada - Peruvian &amp; Tasty,/Restaurant_Review-g189838-d12728746-Reviews-La_Parada_Peruvian_Tasty-Lund_Skane_County.html,20.0,4.0,$$ - $$$,Ostra Martensgatan 15,223 61,FoodEstablishment
Cafe Mejeriet,/Restaurant_Review-g189838-d1042628-Reviews-Cafe_Mejeriet-Lund_Skane_County.html,17.0,4.0,$$ - $$$,64 Stora Soedergatan,222 23,FoodEstablishment
The Bishops Arms,/Restaurant_Review-g189838-d7064049-Reviews-The_Bishops_Arms-Lund_Skane_County.html,57.0,3.5,$$ - $$$,7 Sankt Petri Kyrkogata,222 21,FoodEstablishment
Taquerian,/Restaurant_Review-g189838-d12430497-Reviews-Taquerian-Lund_Skane_County.html,27.0,4.0,$,Klostergatan 11,222 22,FoodEstablishment
Icha Mochi,/Restaurant_Review-g189838-d13468821-Reviews-Icha_Mochi-Lund_Skane_County.html,17.0,4.0,$$ - $$$,Bangatan 8,222 21,FoodEstablishment
John Scott's,/Restaurant_Review-g189838-d13511438-Reviews-John_Scott_s-Lund_Skane_County.html,15.0,4.0,$$ - $$$,Skomakaregatan 3,,FoodEstablishment
Mesob Eritreansk Och Ethiopisk Restaurang,/Restaurant_Review-g189838-d12535602-Reviews-Mesob_Eritreansk_Och_Ethiopisk_Restaurang-Lund_Skane_County.html,6.0,3.5,$$ - $$$,Bankgatan 14A,22352,FoodEstablishment
Restaurang Flame on Curry,/Restaurant_Review-g189838-d14059613-Reviews-Restaurang_Flame_on_Curry-Lund_Skane_County.html,10.0,3.5,$$ - $$$,Martenstorget 6,223 51,FoodEstablishment
Amazing Thai Restaurang in Lund,/Restaurant_Review-g189838-d5952943-Reviews-Amazing_Thai_Restaurang_in_Lund-Lund_Skane_County.html,24.0,3.5,$$ - $$$,11A Byggmaestaregatan,222 37,FoodEstablishment
Saluhallen,/Restaurant_Review-g189838-d15657046-Reviews-Saluhallen-Lund_Skane_County.html,45.0,4.0,,1 Maartenstorget,223 51,FoodEstablishment
Cyrus Restaurang HB,/Restaurant_Review-g189838-d1042631-Reviews-Cyrus_Restaurang_HB-Lund_Skane_County.html,10.0,3.5,$,Allhelgona Kyrkog. 4,,FoodEstablishment
Restaurant &amp; Cafe Inspira,/Restaurant_Review-g189838-d12852786-Reviews-Restaurant_Cafe_Inspira-Lund_Skane_County.html,1.0,5.0,,Scheelevagen 4 Medicon Village,,FoodEstablishment
1959 Gelateria,/Restaurant_Review-g189838-d15326032-Reviews-1959_Gelateria-Lund_Skane_County.html,1.0,5.0,,Vastra Martensgatan 7,,FoodEstablishment
Sibylla Getingevagen,/Restaurant_Review-g189838-d13132622-Reviews-Sibylla_Getingevagen-Lund_Skane_County.html,2.0,4.0,,Getingevagen 9,222 41,FoodEstablishment
Empoli Gyros &amp; Pizza i Lund,/Restaurant_Review-g189838-d5953058-Reviews-Empoli_Gyros_Pizza_i_Lund-Lund_Skane_County.html,6.0,3.5,,2 Tellusgatan,224 57,FoodEstablishment
Avokado Fresh Food,/Restaurant_Review-g189838-d11679838-Reviews-Avokado_Fresh_Food-Lund_Skane_County.html,4.0,4.0,,Bangatan 8,22221,FoodEstablishment
TA Him Thai Way,/Restaurant_Review-g189838-d5943782-Reviews-TA_Him_Thai_Way-Lund_Skane_County.html,4.0,4.0,,Kavlingevagen 1,222 40,FoodEstablishment
Subway,/Restaurant_Review-g189838-d5943779-Reviews-Subway-Lund_Skane_County.html,14.0,3.5,$,10 A Bangatan,222 21,FoodEstablishment
India Dack,/Restaurant_Review-g189838-d5949022-Reviews-India_Dack-Lund_Skane_County.html,4.0,4.0,$,3 Stora Algatan,223 50,FoodEstablishment
Lundalunch,/Restaurant_Review-g189838-d14088700-Reviews-Lundalunch-Lund_Skane_County.html,1.0,5.0,,Sandgatan 10,223 50,FoodEstablishment
Sinji,/Restaurant_Review-g189838-d13536378-Reviews-Sinji-Lund_Skane_County.html,2.0,4.0,$$ - $$$,Sankt Petri kyrkogata 8,222 21,FoodEstablishment
Godset Restaurang,/Restaurant_Review-g189838-d814251-Reviews-Godset_Restaurang-Lund_Skane_County.html,53.0,3.0,$$ - $$$,3-5 Bangatan,222 21,FoodEstablishment
Alfredo's Pasta,/Restaurant_Review-g189838-d9776275-Reviews-Alfredo_s_Pasta-Lund_Skane_County.html,11.0,3.0,,1 Maartenstorget Saluhallen,223 51,FoodEstablishment
Cafe UB,/Restaurant_Review-g189838-d12154549-Reviews-Cafe_UB-Lund_Skane_County.html,4.0,3.5,,Helgonabacken 1,223 62,FoodEstablishment
Cc House Restaurang och Konferens,/Restaurant_Review-g189838-d1042629-Reviews-Cc_House_Restaurang_och_Konferens-Lund_Skane_County.html,1.0,5.0,,Kaprifoliev. 1,,FoodEstablishment
Grillstation,/Restaurant_Review-g189838-d7248003-Reviews-Grillstation-Lund_Skane_County.html,4.0,3.5,,10 Sankt Petri Kyrkogata,222 21,FoodEstablishment
Stortorget Bar &amp; Restaurang,/Restaurant_Review-g189838-d1893307-Reviews-Stortorget_Bar_Restaurang-Lund_Skane_County.html,130.0,3.0,$$ - $$$,1 Stortorget,222 23,FoodEstablishment
Hilbert Cafe,/Restaurant_Review-g189838-d5972283-Reviews-Hilbert_Cafe-Lund_Skane_County.html,1.0,5.0,,18 Soelvegatan,223 62,FoodEstablishment
Mezaya - eLibanesisk Buff,/Restaurant_Review-g189838-d15812604-Reviews-Mezaya_eLibanesisk_Buff-Lund_Skane_County.html,1.0,4.0,,Kyrkogatan.21,22222,FoodEstablishment
Restauran Sol,/Restaurant_Review-g189838-d15326079-Reviews-Restauran_Sol-Lund_Skane_County.html,1.0,4.0,,Helgonabacken 12,,FoodEstablishment
