"[Chinese, (Sim.)]",1,6,,4,"January 21, 2018 ",味道还不错，服务好。,,瑞典菜式，感受总的来说很不错。酒吧装修风...More
[English],94,49,12.0,5,"September 23, 2016 ",Small plates and pizza,"Cleveland, Ohio","Dined with a group on business.  Service was great, dealing with a large group (12 or so), and even split checks.

Lots of interesting-looking small plates, plus pizzas.  Some in the group just had 2-3 small plates, while others had pizza.  I had one small...More"
[English],94,36,14.0,4,"September 27, 2015 ",At the hart of Lund,"San Francisco, California","This fun and efficient resturang in the center of Lund ""Mårtenstorget"" You will be greeted by nice and polite staff, informing you of todays menu, the have separate lunch and dinner menus of the day, and they cover all type of dishes with the the...More"
[English],94,28,10.0,3,"September 29, 2016 ","Good food, nice atmosphere, bad service","Balingen, Germany","The restaurant is very nice inside and outside. I really liked the atmosphere. I think the concept of having smaller dishes is very interesting and appeals to me. The choice was good and the food turned out to be delicious. However, the service was not...More"
[English],94,72,15.0,4,"September 5, 2018 ","Picturesque, very good service and a pizza that was not your average pizza","Saint-Hilaire-d'Ozilhan, France",Given the feeling of being a welcome guest goes a long way. Ved has the ability. We didn't go for more than pizza and this was more than enough. Good crust and tasty ingredients. A good atmosphere in the square and a cultural context that...More
[English],94,35,4.0,5,"September 6, 2018 ",Excellent food,"Oslo, Norway","We had risotto, lamb and pannacotta. It was delicious! Staff was both effective and friendly. The restaurant is big, yet nice and cosy. I warmly recommend it."
[English],94,109,24.0,4,"September 7, 2018 ",Friendly,"Malmo, Sweden",Very friendly staff although we ate lunch during rush hour. Unfortunately our food took longer time than normal for lunchtime. But it was worth wild the food was very tasteful
[English],94,627,134.0,4,"September 9, 2018 ",Nice Atmosphere ,"Boston, Massachusetts","We stopped here for lunch. We had the lemon cello drink with mint, ok. Pizza was good, not great. Service was very good.  Overall a,popular place in the square. For lunch it was good, typical Swedish prices - expensive for pizza. 3pizzas and drinks will...More"
[German],8,3,1.0,5,"December 15, 2014 ",Ungewöhnlich und lecker,"Klotten, Germany","Freundlicher Service. Abwechslungsreiches Angebot, es reicht von lokalen Gerichten über Holzofen- Pizza bis zum fernöstlichen Einschlag. Wir haben querbeet probiert....More"
[German],8,13,16.0,4,"December 21, 2015 ",Leckere Pizza zu günstigen Preisen - Unbedingt reservieren,"Hamburg, Germany","Leckere Pizza, super Antipasi als Vorspeise. Klasse Wein getrunken und freundlicher Service ! Das Restaurant ist ein bisserl versteckt, aber...More"
[German],8,165,41.0,4,"June 16, 2018 ",Weder Tapas noch Restaurant,,"Interessantes Konzept. Keine reine Tapas Bar, aber auch kein reines Restaurant. Man muß, wie auf der Karte beschrieben, mehrere Gerichte...More"
[German],8,1,,4,"May 25, 2017 ",Gute Wahl ,,Sehr netter Service. Mittagsmenü preiswert und sehr schmackhaft. Uriges Interieur mit tollen Fotografien als Dekoration.
[German],8,288,43.0,4,"May 29, 2017 ",Gute Mischung ,"Moosinning, Germany",Das Restaurant Ved bietet eine gute Mischung zwischen kleinen Gerichten und verschiedenen Pizzen. Bei gutem Wetter sind die wenigen Plätze...More
