Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
1513,Lund_00583,Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Official residence,Château,Architecture,Lundagérd,N WO Y G, May 2017
1514,Lund_00089,Tree,Woody plant,Sky,Plant,Spring,Grass,Leaf,Daytime,Botany,Flower,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
1523,Lund_02521,Product,Industry,Factory,Machine,Building,Engineering,Metal,,,,MAX IV Laboratory,p‘ Indré Kolojanska, May 2017
1525,Lund_01432,Natural landscape,Tree,Sky,Grass,Green,Daytime,Lawn,Spring,Pasture,Natural environment,Botanical Garden,W) Wokitty b, May 2018
1527,Lund_02319,Sky,Water,Dock,Water resources,Morning,Boardwalk,River,Lake,Horizon,Waterway,Rabysjon och Raby s,q ﬁ Joakim Erlandss, May 2017
1553,Lund_01829,Building,Landmark,Tourism,Architecture,City,Sky,Facade,Cathedral,Medieval architecture,Pedestrian,Lunds Fontéinhus,J  Janus sobrzezeje, May 2018
1559,Lund_01059,Landmark,Building,Estate,Mansion,Architecture,Stately home,Palace,Official residence,Presidential palace,Sky,Lundagérd 9,( R LG, May 2017
1566,Lund_01233,Body of water,Natural landscape,Nature,Waterway,Tree,Canal,Water,Bank,River,Vegetation,Stadsparken,Peter Nordensva, May 2017
1579,Lund_02880,Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace,Lundagérd,Mohammad A.M, May 2018
1581,Lund_00871,Landmark,Spring,Flower,Garden,Building,Architecture,Botany,Plant,Mansion,Palace,’ Patrick G,’ Patrick G, May 2011
1589,Lund_01898,Waterway,Metropolitan area,City,Human settlement,Mixed-use,Architecture,Condominium,Urban area,Town,Building,Loppmarknad,J) JAKAWAT PUMP, May 2017
1596,Lund_01151,Town,Property,Building,Public space,City,Human settlement,Neighbourhood,Architecture,Mixed-use,House,£ (g T,‘ﬁ James Andrews, May 2017
1606,Lund_01705,Town,Building,Neighbourhood,Property,House,Architecture,Transport,Street,Residential area,Human settlement,"Lundagérdens salon,",'r? James Andrews, May 2017
1633,Lund_02086,Garden,Flower,Botanical garden,Botany,Spring,Plant,Landscaping,Mansion,Building,Landscape,Lundagérd 9,Pavel Jicha, May 2015
1637,Lund_01832,Tree,Green,Grass,Natural landscape,Woody plant,Plant,Lawn,Grass family,Shrub,Leaf,Stadsparken,@) Habiv er-Rachici, May 2018
1646,Lund_01133,Landmark,Architecture,Building,Estate,Tree,Tourist attraction,Stately home,National historic landmark,Palace,Mansion,[T T VT,Q chandan gupta, May 2017
1657,Lund_01752,Fountain,Water,Sky,Public space,Daytime,Water feature,Plaza,Tree,Town,Town square,Stadsparken,Jonas Blomgqvist, May 2018
1685,Lund_01217,Body of water,Natural landscape,Nature,Bank,Water resources,Water,Pond,River,Natural environment,Nature reserve,Stadsparken,LN Stenberg, May 2018
1686,Lund_01116,Landmark,Architecture,Medieval architecture,Building,Classical architecture,Gothic architecture,Facade,Place of worship,Church,Cathedral,Domkyrkoplatsen ¢,=N ETi(e e, May 2018
1698,Lund_01360,Flag,Landmark,Town,City,Public space,Building,Human settlement,Town square,Plaza,Sky,Sankt Hans Hill,ﬁ Sumeet Ranjan S, May 2017
1700,Lund_02464,Pasture,Grassland,Sky,Grazing,Natural environment,Bovine,Natural landscape,Farm,Rural area,Grass,Nobbelbvs mosse,g ) Andreas Ahlgvist, May 2018
1713,Lund_01495,Landmark,Architecture,Spring,Public space,Sky,Plaza,Building,Flower,City,Street light,Lundagérd,E Eliot Montesino, May 2018
1730,Lund_01656,Garden,Vegetation,Natural landscape,Botanical garden,Grass,Tree,Botany,Grass family,Shrub,Lawn,RN en T L),) Habib ElRachidi, May 2018
1746,Lund_00076,Building,Filling station,Asphalt,Tree,Architecture,Road,Street,House,Residential area,Gas,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
1763,Lund_01860,Property,Home,Sky,Grass,House,Architecture,Public space,Real estate,Botany,Residential area,Lundagérd,D  Dominik Wojciec, May 2015
1771,Lund_01631,Building,Property,Mixed-use,Campus,Architecture,Real estate,City,Room,College,University,Ingvar Kamprad Desi,Sabry Razick, May 2018
1783,Lund_01337,Building,Property,Town,Architecture,Human settlement,Public space,House,City,Estate,Stately home,Bantorget,Birgitta Karlsson, May 2017
1785,Lund_01177,Garden,Botanical garden,Botany,Tree,Shrub,Park,Grass,Plant,Walkway,Hedge,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
