Authors	records	% of 829
GRAF W	1	0.121
GRAGSON T	1	0.121
GRAHAM L	1	0.121
GRAMS M	1	0.121
GRANT M	1	0.121
GRASSI A	1	0.121
GRAY B	1	0.121
GRAY-DONALD K	1	0.121
GRAZULEVICIUS T	1	0.121
GREENE M	1	0.121
GREENING HS	1	0.121
GREGUROVIC G	1	0.121
GREIF MJ	1	0.121
GRELLER MM	1	0.121
GRGIC A	1	0.121
GRICAR J	1	0.121
GRIFFIN A	1	0.121
GRIFFIN M	1	0.121
GRIFFITH DA	1	0.121
GRIGG NS	1	0.121
GRIGORESCU I	1	0.121
GROGAN CM	1	0.121
GROGAN R	1	0.121
GUAN P	1	0.121
GUAN Y	1	0.121
GUARNACCIA CA	1	0.121
GUERRINI F	1	0.121
GUILLEMIN F	1	0.121
GUITE HF	1	0.121
GUO AM	1	0.121
GUO HB	1	0.121
GUO LL	1	0.121
GUPTA RS	1	0.121
GURSKIENE V	1	0.121
GUSCHL L	1	0.121
GUSTAFSON S	1	0.121
GUTIERREZ A	1	0.121
GUTIERREZ-RODRIGUEZ M	1	0.121
HACKLANDER K	1	0.121
HACKLER D	1	0.121
HACURA J	1	0.121
HAFFNER MEA	1	0.121
HAGERMAN S	1	0.121
HAGHI HB	1	0.121
HAJIALIAKBARI K	1	0.121
HAKIMI S	1	0.121
HALE JD	1	0.121
HALERZ-NOWAKOWSKA B	1	0.121
HALEY SM	1	0.121
HALL SM	1	0.121
HALLER HW	1	0.121
HALLMARK SL	1	0.121
HAMDUIDDIN I	1	0.121
HAMIDI S	1	0.121
HAMILTON-BAILLIE B	1	0.121
HAN F	1	0.121
HAN MH	1	0.121
HAN SS	1	0.121
HAN X	1	0.121
HAN ZA	1	0.121
HANAKI K	1	0.121
HANEKAMP T	1	0.121
HANSEN G	1	0.121
HANSSON E	1	0.121
HAO JX	1	0.121
HAO R	1	0.121
HAO Z	1	0.121
HARCOURT M	1	0.121
HARMAN SM	1	0.121
HARPER RC	1	0.121
HARTIG F	1	0.121
HARUN NZ	1	0.121
HASHIM HS	1	0.121
HASLAM R	1	0.121
HASSE J	1	0.121
HATAYAMA M	1	0.121
HAUG I	1	0.121
HAWKINS N	1	0.121
HAWLENA J	1	0.121
HAYES W	1	0.121
HAYSLETT KL	1	0.121
HE H	1	0.121
HE Q	1	0.121
HE WS	1	0.121
HE ZY	1	0.121
HECKMAN PE	1	0.121
HEFFERAN M	1	0.121
HEIDARI AA	1	0.121
HEIN M	1	0.121
HELZLSOUER KJ	1	0.121
HENDRICK R	1	0.121
HENDRIKSEN IJM	1	0.121
HERB J	1	0.121
HERMANS C	1	0.121
HERNANDEZ-PULGARIN G	1	0.121
HEUBECK S	1	0.121
HEYNEN N	1	0.121
HIGDON R	1	0.121
HIGO E	1	0.121
HIJAZI IH	1	0.121
HILDEBRANDT VH	1	0.121
HINES JR	1	0.121
HIRNER AV	1	0.121
HIRSCH F	1	0.121
HOCH DB	1	0.121
HODSON CB	1	0.121
HOFFMAN LA	1	0.121
HOFFMANN D	1	0.121
HOFMANN M	1	0.121
HOHLING HJ	1	0.121
HOLDEN G	1	0.121
HOLDSWORTH J	1	0.121
HOLLOWAY KFC	1	0.121
HOLMES-ROVNER M	1	0.121
HOLSTEIN L	1	0.121
HOLUB K	1	0.121
HONNAY O	1	0.121
HOPKINS E	1	0.121
HORTON R	1	0.121
HORWITZ JR	1	0.121
HOSCHA LC	1	0.121
HOSNI J	1	0.121
HOSSEINI SB	1	0.121
HOSSINI SB	1	0.121
HOSU I	1	0.121
HOU G	1	0.121
HOU QH	1	0.121
HOWE AW	1	0.121
HOWELL KL	1	0.121
HOWELL W	1	0.121
HOY L	1	0.121
HOZOVA J	1	0.121
HU G	1	0.121
HU JG	1	0.121
HU MM	1	0.121
HU PF	1	0.121
HU RB	1	0.121
HU SH	1	0.121
HU XW	1	0.121
HUANG BX	1	0.121
HUANG CC	1	0.121
HUANG H	1	0.121
HUANG JG	1	0.121
HUANG SL	1	0.121
HUANG SW	1	0.121
HUANG XF	1	0.121
HUANG Y	1	0.121
HUANG YP	1	0.121
HUANG YY	1	0.121
HUANG YZ	1	0.121
HUANG Z	1	0.121
HUGGER S	1	0.121
HUI D	1	0.121
HUNT DVL	1	0.121
HUO XW	1	0.121
HUPPERT F	1	0.121
HURST G	1	0.121
HUSSAIN MRM	1	0.121
HUTAMA IAW	1	0.121
IACOFANO DS	1	0.121
IBADOVA P	1	0.121
ICHIKAWA H	1	0.121
IDAJATI H	1	0.121
IHARA M	1	0.121
IM HN	1	0.121
INDIRA SS	1	0.121
IRANPOUR O	1	0.121
IRWIG L	1	0.121
IRWIN MR	1	0.121
ISHII M	1	0.121
ISIKLAR S	1	0.121
ISLAS-RODRIGUEZ L	1	0.121
ISOLA ML	1	0.121
ISRAILOVA SA	1	0.121
IVANCHENKO OE	1	0.121
JACKEL B	1	0.121
JAIN P	1	0.121
JAKOBSSON K	1	0.121
