a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01488,Building,Classical architecture,Architecture,Landmark,Palace,Facade,Mansion,,,,Lundagérd,(elT. 1 W [V =, Oct 2014
Lund_03197,Classical architecture,Building,Palace,Landmark,Architecture,Mansion,Château,Official residence,,,Lundagérd,(VI E R I GTET), Oct 2018
Lund_01291,Property,Building,Town,Architecture,House,,,,,,Lund Cathedral,Krystian Czernek, Oct 2017
Lund_03173,Grassland,Natural landscape,Pasture,Vegetation,Field,Nature,Natural environment,Meadow,Land lot,Grass,Klosteréngshojden,Klosteréngshojden, Oct 2018
Lund_00962,Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,,,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
Lund_02934,Grass,Natural landscape,Lawn,Property,Walkway,Garden,Backyard,Yard,Grass family,Land lot,Ostratornskolan,= Anne-Lii Lindahl, Oct 2016
Lund_02090,Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Church,,,,,Lund Cathedral,@ Krystian Czernek, Oct 2017
Lund_00834,Town,City,Human settlement,Public space,Building,Town square,Architecture,,,,Park Inn by Radissor,l& Thom Seaman, Oct 2016
Lund_01181,Classical architecture,Landmark,Architecture,Building,Medieval architecture,Facade,Sky,Place of worship,Cathedral,,[T e T T T,'QE Ania Jasiok, Oct 2018
Lund_02754,Sky,Natural landscape,Tree,Property,Leaf,Shrub,Grass,,,,Vasaplatsen,@ Tim Scharinger, Oct 2018
Lund_01161,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,,Lundagérd 8,@ Sergio Garcia, Oct 2012
Lund_01393,Estate,Building,Mansion,Property,Palace,Stately home,Manor house,Château,,,Lundagérd 9,Ben Carsten, Oct 2017
Lund_02073,Sky,Architecture,Blue,Landmark,Building,Daytime,Classical architecture,Cathedral,Facade,Cloud,Lundagérd,?‘ Riccardo Patriarc, Oct 2016
Lund_01664,Sky,Landmark,Tree,Leaf,Autumn,,,,,,Lundagérd,Marzia Cescon, Oct 2017
Lund_02421,Garden,Natural landscape,Nature,Leaf,Botanical garden,Autumn,Tree,Vegetation,Plant,Wilderness,Stadsparken,5 a Anna Sadowska, Oct 2018
Lund_00760,Landmark,Medieval architecture,Architecture,Building,Sky,Cathedral,Spire,Place of worship,Church,Steeple,[T L Ee G B,fi‘ \CeRinlin L], Oct 2017
Lund_03202,Landmark,Architecture,Building,Sky,City,Classical architecture,Medieval architecture,,,,[T e T T T,[T e T T T, Oct 2017
Lund_00219,Building,Landmark,Architecture,Estate,,,,,,,Lundagérd,@ cissio Oliveira, Oct 2017
Lund_01462,Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,,,,Lundagérd,@ ST EE ), Oct 2007
Lund_01178,Sky,Tree,Leaf,Grass,Cloud,Daytime,Architecture,House,Autumn,Town,Bjeredsparken,% William Térneber, Oct 2017
Lund_00859,Estate,Landmark,Building,Mansion,Palace,Architecture,Property,Stately home,Official residence,Classical architecture,[TV T,1] Matthias McAllis, Oct 2016
Lund_01262,Natural landscape,Nature,Highland,Wilderness,Grass,Nature reserve,Geological phenomenon,Hill,Fell,Waterway,Virpinge Golfklubb,& Victor Kalbskopf, Oct 2016
Lund_01556,Building,Landmark,Estate,Tree,Property,Mansion,Sky,Architecture,,,Lundagérd,Jani Maltehaim, Oct 2016
Lund_02767,Natural landscape,Water,Nature,Waterway,River,Vegetation,Water resources,Watercourse,Tree,Wilderness,Rinnebick Gorge,C ) Clara Isaksson, Oct 2018
Lund_02510,Natural landscape,Natural environment,Vegetation,Water,Nature reserve,Wilderness,Tree,Sky,Bank,River,. Pavel Larsson,. Pavel Larsson, Oct 2017
Lund_02034,Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Gothic architecture,Cathedral,Facade,Church,Domkyrkan i véntans,j‘;}) Ingegerd Karlsso, Oct 2016
Lund_01676,Landmark,Building,Town,Architecture,Sky,,,,,,University Library,Henrik Klasson, Oct 2016
Lund_02436,Natural landscape,Nature,Water,Nature reserve,Wilderness,Bank,Natural environment,Watercourse,River,Tree,Vérpinge Hundrastpl,& Victor Kalbskopf, Oct 2016
Lund_02381,House,Town,Property,Sky,Building,Architecture,Urban area,Neighbourhood,,,Lundagérd,ﬁg‘ Orfeas Kalipolitis, Oct 2018
Lund_02906,Rock,Sculpture,,,,,,,,,Stadsparken,A Aleksander Szyci, Oct 2018
Lund_01243,Landmark,Estate,Architecture,Tree,House,Building,Sky,Grass,Mansion,,Stadsparken,% \CeRinlinbiv], Oct 2017
Lund_02363,,,,,,,,,,,MAX IV Laboratory,@ EONE Y, Oct 2016
Lund_02970,Natural landscape,Nature,Tree,Natural environment,Watercourse,Nature reserve,Bank,Water,Waterway,Stream,Rinnebick Gorge 2,L 1T T, Oct 2013
Lund_03107,Highland,Geological phenomenon,Hill station,Water,,,,,,,Rinnebick Gorge,D Davide De Martir, Oct 2016
