,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
204,Lund_02858,Classical architecture,Architecture,Landmark,Building,,,,,,,Lundagérd,LNl TP T NEEN T g, Jul 2018
205,Lund_02117,Landmark,Building,Architecture,Town,Urban area,City,,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
206,Lund_01097,Reflection,Nature,Water,Natural landscape,Pond,Vegetation,Green,Water resources,Waterway,Nature reserve,Botanical Garden,@ Hans Jirgen Klai, Sep 2018
207,Lund_00026,Building,Landmark,Architecture,Church,,,,,,,"%, Juliane Vigan6","%, Juliane Vigan6", Apr 2018
208,Lund_01207,Estate,Château,Mansion,Building,Palace,Property,Stately home,Manor house,,,Lundagérd 9,Fred Tjgnngy, Jul 2017
209,Lund_00991,Building,Architecture,Landmark,Sky,Medieval architecture,,,,,,Lundagérd 9,Bl G N],
210,Lund_00168,Tree,Woody plant,Plant,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
211,Lund_02162,Landmark,Architecture,Building,Steeple,Sky,,,,,,[T T BRI,Anna Cismasu, Jul 2018
212,Lund_02602,Vehicle,Transport,Car,Building,,,,,,,CircleK,‘ Alexander Pataki, Mar 2017
213,Lund_01373,Landmark,Building,Architecture,Town,Steeple,Medieval architecture,Church,Cathedral,City,Sky,Lundagérd,Antonella Torrett, Aug 2017
214,Lund_00450,Estate,Building,Palace,Mansion,Property,Official residence,Château,Stately home,Manor house,,Lundagérd,"% e,", May 2016
215,Lund_01523,Wall,Castle,Building,Architecture,Fortification,Medieval architecture,,,,,Lundagérd,"(&, =1 0 YT", Aug 2017
216,Lund_00852,Aerial photography,Urban area,Residential area,Metropolitan area,Suburb,Bird's-eye view,Urban design,City,Neighbourhood,Human settlement,,, Jul 2015
217,Lund_03130,Sky,Cloud,,,,,,,,,MAX IV Laboratory,6 IR DL, Sep 2016
218,Lund_00812,Landmark,Building,Classical architecture,Architecture,Property,Estate,Mansion,,,,Lundagérd 8,% V. Jamile, Apr 2009
219,Lund_02677,Team sport,Sky,Grass,Sport venue,Competition event,,,,,,Klostergérdens IP,il VPN CY T Lo (o)), Jun 2017
220,Lund_01445,Property,Building,Estate,House,Architecture,Tree,Stately home,Sky,,,University Library,A  Alejandro Carrillc, Aug 2016
221,Lund_00206,Town,Street,Architecture,Bicycle,Cobblestone,Building,City,Neighbourhood,Human settlement,Urban area,™ Ratil Menéndez,TR 0],
222,Lund_01518,Landmark,Architecture,Medieval architecture,Building,Classical architecture,Place of worship,Church,Sky,,,Lund Cathedral,(VeI N, Jul 2003
223,Lund_02058,Landmark,Architecture,Building,Church,Sky,,,,,,Lundagérd 9,Ewa J Knitter,
224,Lund_02984,Grassland,Plain,Sky,Field,Natural environment,Prairie,Steppe,Natural landscape,Land lot,Pasture,Nobbel6vs mosse,@ Jian Wang, Apr 2017
225,Lund_02802,Building,Architecture,Water,,,,,,,,Lundagérd,M Martin Jansson, Jun 2017
226,Lund_02766,Landmark,Architecture,Winter,,,,,,,,[T He 1 L T,OZRONK CARPE|, Oct 2018
227,Lund_01983,Medieval architecture,Building,Architecture,Landmark,Church,,,,,,Lund Cathedral,\g\ Thomas Crahay, Aug 2017
228,Lund_01418,Garden,Botanical garden,Botany,Park,,,,,,,Lundagérd,Darina Buhcheva, Jul 2017
229,Lund_00718,Landmark,Building,Architecture,Sky,Medieval architecture,Place of worship,Church,Cathedral,City,,Lund Cathedral ¢,({‘ Lucija Cetin, Jul 2016
230,Lund_00740,Building,Landmark,Architecture,Church,Parish,Medieval architecture,Place of worship,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
231,Lund_03146,Aerial photography,Bird's-eye view,Land lot,Plain,Sky,Air travel,Atmospheric phenomenon,,,,Lund Sédra Tpl.,e Bjorn Davidsson, May 2017
232,Lund_01048,Classical architecture,Building,Landmark,Architecture,Palace,,,,,,Lundagérd 9,6@@ Lau Moura, Jun 2018
233,Lund_02758,Flower,Plant,Garden,Shrub,,,,,,,HSB BRF Linero I Lui,é; Lennart Eliasson, May 2013
234,Lund_01191,Estate,Building,,,,,,,,,Stadsparken,padma ravindran, Jun 2017
235,Lund_01247,Property,House,Building,Home,Roof,,,,,,Coop Konsum,J  Janus sobrzezeje, May 2018
236,Lund_00407,Building,Landmark,Architecture,Medieval architecture,Classical architecture,Facade,,,,,Lund Cathedral,A Adeel Tajammul, Apr 2017
237,Lund_00107,Body of water,Shore,Water resources,Rock,Water,Coast,Bank,Waterway,,,"‘é"" [N","‘é"" [N", Aug 2018
238,Lund_02342,,,,,,,,,,,Ljungs Handel,ﬂ Tommy Nilsson,
239,Lund_02853,Brick,Property,Brickwork,Landmark,House,Building,Architecture,Wall,Sky,,Lundagérd,@ Mohammadjums, Mar 2016
240,Lund_01665,Garden,Water,Botanical garden,Natural landscape,Botany,Fountain,Tree,Pond,,,Lundagérd 9,6 Rene Wagner, Aug 2017
241,Lund_01825,Landmark,Architecture,Sky,Building,Estate,Mansion,House,,,,Lundagérd,Vladyslav Humer,
242,Lund_00829,Building,Estate,Landmark,Mansion,Architecture,Stately home,Château,,,,[T 3,"""Q AL T", May 2018
243,Lund_00106,Transport,Line,Architecture,,,,,,,,Lund H,F Kamal Dayob, Mar 2018
244,Lund_02276,Property,House,Sky,Building,Architecture,Home,Yard,,,,Kulturen,ina andersen, Oct 2018
245,Lund_00487,Classical architecture,Architecture,Landmark,Building,Facade,,,,,,Lundagérd,B Bengt Ljungquist, Apr 2018
246,Lund_02263,Natural landscape,Nature,Nature reserve,Vegetation,Grass,Tree,Biome,Watercourse,Grass family,,Rinnebick Gorge 2,Fredrik Holte, May 2018
247,Lund_00837,Architecture,Landmark,Building,Medieval architecture,Place of worship,Church,Classical architecture,Cathedral,,,Lund Cathedral :,?ﬁ Mads Frimann, Dec 2015
248,Lund_00823,Landmark,Architecture,Building,Estate,Water,,,,,,Lundagérd,I ERER T, Jul 2018
249,Lund_03037,Building,Warehouse,,,,,,,,,Biltema,(’53 R S,
250,Lund_02956,Bridge,,,,,,,,,,N[ AT T T,P =], Dec 2016
251,Lund_01274,Estate,Property,Public space,Building,Campus,Architecture,,,,,Lundagérd 9,a 31 E,
252,Lund_00031,Building,Classical architecture,Architecture,Landmark,Property,Facade,Official residence,Palace,,,"‘é"" [N","‘é"" [N", Aug 2018
253,Lund_02886,Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,,,,,Lundagérd ¢,a Kiryl Shantyka, Jun 2017
254,Lund_01032,Estate,Building,Mansion,Property,Palace,Landmark,House,Sky,Architecture,,[T T o1 T 1T,A Abdo Fadl, Jul 2017
255,Lund_00802,Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,,,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
256,Lund_02537,Natural landscape,Nature,Tree,Nature reserve,Water,Natural environment,Watercourse,Bank,Waterway,Riparian zone,Rinnebick Gorge 2,L 1T T, Oct 2013
257,Lund_01817,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
258,Lund_01892,Fountain,Water,Water feature,Water resources,,,,,,,Stadsparken,Q chandan gupta, May 2017
259,Lund_00195,,,,,,,,,,,‘ Janus sobrzezeje,Video - Sep 2018,
260,Lund_00048,Brickwork,Brick,Architecture,Wall,Property,Arch,Building,House,Town,Iron,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
261,Lund_00732,Medieval architecture,Property,Castle,Building,,,,,,,Lundagérd,@ Juca Felix Galino, Jul 2016
262,Lund_00633,Building,Architecture,Property,Landmark,Neighbourhood,Town,City,Human settlement,,,Underground Street |,Underground Street |, Jul 2017
263,Lund_02227,Sky,Motor vehicle,Residential area,Road,Cloud,Urban area,Transport,Town,,,Lunds Bollklubb,Florian Weissbac, Aug 2018
264,Lund_01904,Architecture,Landmark,Building,Classical architecture,Facade,,,,,,Lundagérd,Anders Sjostrom, Jun 2018
265,Lund_02036,Sky,Cloud,Water,Reflection,Architecture,River,Morning,,,,Nova,Leif Tomas Olssc, Aug 2017
266,Lund_02429,Lawn,Grassland,Grass,Sport venue,Land lot,Green,Natural landscape,Tree,Meadow,Sky,! 3 Oliver Jannessor,! 3 Oliver Jannessor, Jul 2017
267,Lund_02005,Building,Estate,Mansion,Property,Palace,House,Stately home,Official residence,Architecture,,Lundagérd c,Matic Smodis, Aug 2016
268,Lund_00498,Château,Building,Estate,Property,Palace,Mansion,,,,,Bantorget -,L. -, Jul 2017
269,Lund_02438,Natural landscape,Body of water,Nature,Sky,Vegetation,Nature reserve,Water resources,Water,Lake,Natural environment,L TR TR,O ) Olexiy Avramche!, Aug 2017
270,Lund_02648,Natural landscape,Vegetation,Natural environment,Meadow,Grassland,Prairie,Grass,Nature reserve,Shrubland,Plant community,Brunnshdgs kojskog,# Viktor Erik Jense, May 2017
271,Lund_00113,Vehicle,Town,Car,Urban area,Transport,Street,Landmark,Mode of transport,Architecture,Neighbourhood,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
272,Lund_01689,Town,Building,City,Landmark,Architecture,Human settlement,Residential area,Sky,Urban area,,Lund C,@ Diego Reyes Gon, Sep 2017
273,Lund_00949,Building,Estate,Mansion,Palace,Landmark,Stately home,Official residence,Classical architecture,Architecture,Château,Lundagérd H,«g T, Nov 2006
274,Lund_00121,Spire,Steeple,Church,Tree,Building,Architecture,,,,,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
275,Lund_01789,Town,City,Human settlement,Public space,Tourism,Landmark,Pedestrian,Town square,Architecture,Building,[T TV HTET 3 T,a Abubakar M, Aug 2017
276,Lund_00053,Landmark,Architecture,Building,Town,Facade,City,Urban area,,,,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
277,Lund_00801,Building,Human settlement,City,Architecture,Palace,,,,,,Lundagérd,‘; Ago Pértelpoeg, Jun 2018
278,Lund_01424,,,,,,,,,,,@ Mohamed Elban,LGRSl,
279,Lund_00151,City,Town,Town square,Tree,Plaza,Public space,Human settlement,Building,Mixed-use,Street,"‘é"" [N","‘é"" [N", Aug 2018
280,Lund_00115,Landmark,Tower,Steeple,Building,Spire,Architecture,,,,,. Marion Kaletta,. Marion Kaletta, Oct 2017
281,Lund_00701,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 9,@ Rene Wagner, Aug 2017
282,Lund_01933,Property,Grass,House,Green,Building,Lawn,Home,Real estate,Residential area,Estate,Tridgéardsverandan,6 IR DL, Sep 2017
283,Lund_00325,Building,Landmark,Architecture,Sky,Town,,,,,,Lund Cathedral,"{:, Pascal BASROGE", Jun 2018
284,Lund_02793,Bicycle,Bicycle wheel,Vehicle,Mode of transport,Waterway,Autumn,Tree,Snapshot,Transport,Urban area,Lund - Nov 2017,M) Manos Orfanos,
285,Lund_03005,Natural landscape,Vegetation,Natural environment,Tree,Nature reserve,Bank,,,,,Rinnebick Gorge 2,L 1T T, Oct 2013
286,Lund_00572,Building,Landmark,Estate,Mansion,Property,Architecture,Palace,House,Official residence,,[T TV HTET 0 T,A Anna Gester, Jun 2018
287,Lund_00639,Landmark,Building,Architecture,Classical architecture,City,,,,,,J. T,.}gg Genial Barani, Jun 2017
288,Lund_02588,Body of water,Natural landscape,Sky,Water,Reflection,Cloud,Tree,Natural environment,Lake,Water resources,Nobbelbvs mosse,Q‘ Markus Olsson, Jan 2018
289,Lund_02661,Property,Sky,Cloud,House,Building,,,,,,Ostra Torns Ryttarsi,g Mats Lund, Jul 2016
290,Lund_01082,Aerial photography,Urban area,Metropolitan area,Residential area,Bird's-eye view,Suburb,City,Urban design,Neighbourhood,Human settlement,0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
291,Lund_01798,Building,Architecture,Medieval architecture,Landmark,Place of worship,,,,,,Need to go! Sweet ar,“s déxna KapneoHe, Jul 2016
292,Lund_01426,Medieval architecture,Historic site,Landmark,Architecture,Place of worship,Building,Ruins,Church,Sky,,Klosterkyrkan ¢,‘ John Eckerdal, Apr 2018
293,Lund_00149,Town,Building,,,,,,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
294,Lund_01457,Landmark,Architecture,Classical architecture,Building,Facade,,,,,,Kulturen,Colin Nelson, Aug 2018
295,Lund_02218,Natural landscape,Body of water,Natural environment,Water resources,Marsh,Nature,Nature reserve,Water,Wetland,Vegetation,N[ AT T T,i\ Bengt Jiirs, Jul 2014
296,Lund_01841,Town,Public space,Sky,City,Human settlement,Town square,,,,,Lund Market Hall ¢,=1V A (LT, Sep 2017
297,Lund_02507,Sport venue,Stadium,Soccer-specific stadium,Team sport,Player,Sports,,,,,Klostergérdens IP,Florian Weissbac, Aug 2017
298,Lund_00992,Property,Building,Estate,Landmark,Mansion,House,Architecture,,,,Gamla kirurgen,Christofer Sjéhol, Jul 2017
299,Lund_02020,Property,House,Building,Architecture,Estate,,,,,,Kulturen |,Kulturen |, Aug 2016
300,Lund_01320,Landmark,Building,Architecture,Sky,Medieval architecture,Facade,Church,Town,Place of worship,Cathedral,Lund Cathedral,Kim nicolai Pede, Jul 2018
301,Lund_03181,Sky,Tree,Garden,Leaf,Grass,Daytime,Wilderness,Lawn,Autumn,Park,Stadsparken,5 m Anna Sadowska, Oct 2018
302,Lund_02748,Natural landscape,Nature,Waterway,Water,Tree,River,Bank,Watercourse,Natural environment,Stream,Rinnebick Gorge,Peter de Jounge, Mar 2017
303,Lund_01497,Landmark,Building,Estate,Mansion,Architecture,,,,,,Lundagérd,James Demastu:,
304,Lund_00092,Building,Town,,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
305,Lund_00427,Landmark,Medieval architecture,Building,Architecture,Classical architecture,Spire,Steeple,Church,Place of worship,,Lundagérd 9,PR LED T, Aug 2014
306,Lund_00752,Landmark,Mansion,Architecture,Garden,Building,Spring,Estate,Palace,,,g Oleg Izyumenko,g Oleg Izyumenko, May 2017
307,Lund_00441,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Church,Cathedral,City,Place of worship,Lund Cathedral c,L ’ Peter Bojestig,
308,Lund_02658,Vegetation,Natural landscape,Nature reserve,Nature,Natural environment,Water,Wilderness,Biome,Tree,Watercourse,Rinnebick Gorge,e S YD R E, Jul 2017
309,Lund_01651,Property,House,Cottage,Home,Thatching,Building,Roof,,,,Kulturen,(Z‘w Alexandra von Pe, Jun 2017
310,Lund_01543,Natural landscape,Garden,Vegetation,Tree,Grass,Botanical garden,Grassland,Nature reserve,Meadow,Plant,Botanical Garden,) Habib ElRachidi, May 2018
311,Lund_01813,Public space,,,,,,,,,,Lundagérd 9,—i' BTy S, Aug 2018
312,Lund_02394,Building,Architecture,Property,House,Facade,,,,,,Greenhouse,N ' New Greenhouse, Jan 2018
313,Lund_01639,Residential area,Building,Neighbourhood,Property,Town,Human settlement,Architecture,Metropolitan area,Urban area,Mixed-use,The More Hotel Lunc,@ Gabor Papp, Aug 2016
314,Lund_01961,Body of water,Water resources,Natural landscape,Water,Bank,Nature,River,Pond,Natural environment,Watercourse,Stadsparken,Peter Stockenbel,
315,Lund_01356,Building,Landmark,Palace,Estate,Property,Architecture,Mansion,Official residence,Sky,,Lundagérd c,Pia Arvidsson,
316,Lund_00522,Building,Estate,Landmark,Architecture,Palace,Mansion,Classical architecture,Property,Stately home,Official residence,Lundagérd 9,(o) JoL RV, Aug 2018
317,Lund_01353,Landmark,Building,,,,,,,,,Lundagérd 9,Nadia Naji, Aug 2014
318,Lund_00771,Building,Estate,Palace,Mansion,Official residence,Château,Stately home,Landmark,Classical architecture,Presidential palace,Hokeriet g,@ Sten Olsson, Jul 2017
319,Lund_00217,Roof,Residential area,Town,Sky,Urban area,Neighbourhood,Human settlement,Suburb,City,,Lund,"% e,", May 2016
320,Lund_01129,Property,Building,House,Residential area,Town,Home,Architecture,Real estate,Neighbourhood,Estate,Kulturen,"""“ Kcenus Llanosa", Aug 2017
321,Lund_00165,Architecture,Landmark,Building,Sky,Tourism,Steeple,,,,,@ Lucia Fioravanti,@ Lucia Fioravanti, May 2017
322,Lund_00524,Estate,Building,Mansion,Landmark,Palace,Stately home,Architecture,Classical architecture,Official residence,,?‘}m Goran Todorovié¢,?‘}m Goran Todorovié¢, Oct 2014
323,Lund_01702,Building,Tower block,Condominium,Metropolitan area,Architecture,Commercial building,Mixed-use,Human settlement,Apartment,Corporate headquarters,Elite Hotel Ideon,Alexander Beliak, Jul 2017
324,Lund_00197,Public space,Town,Plaza,Street light,Town square,Human settlement,,,,,Lund,@ Margaret Camille, Sep 2017
325,Lund_02472,Sport venue,Stadium,Grass,Baseball field,Plain,Baseball park,Land lot,,,,LELEITT RN {,ﬂ) Mr.Roman Lak, Apr 2017
326,Lund_00036,Architecture,Building,Medieval architecture,Landmark,Wall,,,,,,Lund - Nov 2017,M) Manos Orfanos,
327,Lund_02751,Playground,Outdoor play equipment,Public space,Swing,Human settlement,City,Leisure,,,,Per Johan's Park pla,K Karl Wittenmark, Jul 2017
328,Lund_00140,Sky,Town,Building,Architecture,Landmark,Church,Medieval architecture,,,,Lund - Nov 2017,M) Manos Orfanos,
329,Lund_02375,Field,Sky,Land lot,Rural area,Farm,Tree,Grass family,,,,Nobbel6vs mosse,i\ 1T T, Aug 2014
330,Lund_02094,Garden,Botanical garden,Park,Botany,Tree,,,,,,Stadsparken,Iratxe ec,
331,Lund_00517,Building,Estate,Classical architecture,Landmark,Mansion,Palace,Official residence,Property,Stately home,Architecture,Lundagard ¢,. (TR, Jan 2017
332,Lund_00424,Landmark,Building,Architecture,Town,City,Human settlement,Stately home,,,,[T T VT T 01 T,‘? Jefri Tamba, Apr 2018
333,Lund_00877,Landmark,Architecture,Tree,Building,Estate,,,,,,Stadsparken,C Carmelo Pellegri, Aug 2017
334,Lund_01417,Property,Town,Street light,Architecture,Tree,Sky,Lighting,House,Building,Residential area,Kulturen 8,zuignap,
335,Lund_01590,Urban area,City,Building,Aerial photography,Residential area,Human settlement,Metropolitan area,Property,Roof,Architecture,Elite Hotel Ideon ¢,Andrea Sonny, Jul 2014
336,Lund_00924,Classical architecture,Building,Architecture,Landmark,Mansion,Palace,,,,,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
337,Lund_00379,Building,Estate,Property,Palace,Architecture,Landmark,Mansion,Sky,House,Château,[T TV TTET 3 T,[T TV TTET 3 T, Aug 2016
338,Lund_03104,Natural landscape,Body of water,Nature,Water resources,Bank,Green,Water,Vegetation,Nature reserve,Riparian forest,Rinnebick Gorge,(é\; NG T LR, Jan 2007
339,Lund_01099,Building,Landmark,Architecture,City,,,,,,,Lund Cathedral,Q Tiinde Vigyinszki, Aug 2017
340,Lund_01428,Natural landscape,Reflection,Pond,Nature,Water,Vegetation,Bank,Garden,Reflecting pool,Nature reserve,Botanical Garden,Jesper Svensson, May 2018
341,Lund_01143,Building,Palace,Architecture,Public space,City,,,,,,Lundagérd ¢,G [VINe), May 2017
342,Lund_01695,Building,Landmark,Architecture,Sky,Church,Medieval architecture,,,,,Lund Cathedral (,ﬁ John Eckerdal, May 2016
343,Lund_00965,Medieval architecture,Landmark,Architecture,Building,Gothic architecture,Cathedral,Place of worship,Classical architecture,Facade,Steeple,[T T o1 T 1T,PRI RN, Apr 2018
344,Lund_01461,Medieval architecture,Architecture,Building,Landmark,Classical architecture,Place of worship,Church,Facade,Historic site,,Lundagérd,AT U R G o),
345,Lund_00853,Garden,Natural landscape,Botanical garden,Lawn,Yard,Plant,Shrub,Groundcover,Flower,Landscaping,Botanic gardens at I,® From a Google U, Jul 2016
346,Lund_02259,Body of water,Water,Nature,Vegetation,Water resources,Riparian zone,Watercourse,River,Natural landscape,Bank,Rinnebick Gorge 2,¢ LEIE RN, Jul 2018
347,Lund_02737,Natural landscape,Sky,Cloud,Natural environment,Land lot,Tree,Grass,Nature reserve,Wilderness,Rural area,Stadsodlingen pa Br,g Mats Lund, Feb 2016
348,Lund_02240,Sky,Transport,Cloud,Town,,,,,,,Leja Rental Service,9 Travel to, Jul 2017
349,Lund_02773,Product,,,,,,,,,,Biltema,Albin Roslund, Jun 2017
350,Lund_02048,Classical architecture,Architecture,Building,Landmark,Facade,,,,,,Lundagérd 9,' Krist Kogi, Nov 2017
351,Lund_01228,Building,Steeple,Spire,Landmark,Church,Place of worship,Architecture,Chapel,,,Lund,Malte Lewan, Feb 2017
352,Lund_01526,Building,Architecture,Landmark,Medieval architecture,Sky,Place of worship,Cathedral,,,,[T T o1 T T T,[T TR, Oct 2016
353,Lund_02247,Straw,Hay,Hut,Grass,Grass family,,,,,,-1 TL T B T B G G,Richard Nilsson, May 2017
354,Lund_00275,Property,Building,Estate,Architecture,Town,,,,,,Lundagérd,g Per Pixel Peterss, Sep 2015
355,Lund_00745,Building,Sky,,,,,,,,,Lundagérd 9,L 1T T, Sep 2013
356,Lund_01211,Building,Estate,Property,Mansion,Landmark,Palace,Architecture,House,Sky,,[T T o1 T 1T,A Abdo Fadl, Jul 2017
357,Lund_02391,Road,Lane,Vehicle,Building,,,,,,,ICA Supermarket Lin,H  Henrik Lindberg, Jul 2017
358,Lund_03166,Natural landscape,Nature,Vegetation,Green,Nature reserve,Natural environment,Grass,Tree,Sky,Wilderness,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017
359,Lund_02321,Property,Building,Architecture,Daytime,Neighbourhood,Real estate,Town,Mixed-use,Sky,House,AR LT,0 Travel to, Jul 2017
360,Lund_01359,Town,Building,Property,Mixed-use,Architecture,,,,,,Park Inn by Radissor,l& Thom Seaman, Oct 2016
